ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score
JAZZ,0.9734872742884485,0.9734872742884485,0.9734872742884485,0,0,7,0.26164856767851585,-0.01813501501925896,0.16507673787304056,0.16957256887995806,0.024224652697136865,0.025302121433796454,-0.114551815418521,1,1,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
AMAT,34.23927384456383,34.23927384456383,4.0,1,0,7,0.9954536132298974,0.5195192428884119,0.4562049308302502,0.013324024712126945,0.0019034321017324207,0.03398310916484184,-0.013324024713022298,1,0,1,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
SU,3.5048169986995483,3.5048169986995483,3.5048169986995483,0,0,6,0.9849899675498238,0.11421972132200597,0.16185485855205,0.04618068749726612,0.007696781249544354,0.020194323702377358,-0.045517071795949215,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
SBGI,4.87858277209646,4.87858277209646,4.0,1,0,6,0.9881102184755315,0.29611736302681835,0.3568962331120549,0.07315571955719567,0.012192619926199279,0.03544436146377631,-0.07315571955785849,1,0,1,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
LUV,1.7928760326807693,1.7928760326807693,1.7928760326807693,0,0,9,0.7504194071215812,0.12593829679536217,0.3274495192779533,0.18263924181547544,0.02029324909060838,0.030822311673374615,-0.13051104736311403,1,0,6,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
bidu,1.2231503651806395,1.2231503651806395,1.2231503651806395,0,0,7,0.40302318961834305,0.024656851458094264,0.20460157180006722,0.1672742596694977,0.02389632280992824,0.03623120513789168,-0.11937438142737644,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
ICE,1.0023157630114783,1.0023157630114783,1.0023157630114783,0,0,7,0.27599568318201195,-0.004160015344009005,0.10569025739381296,0.10544606928685268,0.015063724183836098,0.01485707672723059,-0.08451777392653614,1,1,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
IQV,1.277982790255417,1.277982790255417,1.277982790255417,0,0,9,0.4399692880056743,0.04418238565992971,0.29450726881486283,0.23044697554651947,0.02560521950516883,0.025938577414734904,-0.17563027370412843,1,0,5,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
UHS,3.889734614927704,3.889734614927704,3.889734614927704,0,0,6,0.9877047721226709,0.1845583517014031,0.24157932073449057,0.06210689022520387,0.010351148370867312,0.027130756717338726,-0.061895982733571,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
DINO,5.385297007097225,5.385297007097225,4.0,1,0,7,0.9954536132298974,0.3173257050112661,0.3619207554451527,0.06720534725720442,0.009600763893886347,0.029272475795296533,-0.03958406445916696,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
GS,5.335932987408104,5.335932987408104,4.0,1,0,10,0.9986240094583267,0.20685147098371015,0.24071164166519415,0.0451114439092906,0.00451114439092906,0.021934679371941008,-0.019170312665288236,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
NTRA,33.882722634719244,33.882722634719244,4.0,1,0,6,0.9881102184755315,0.3877576925123887,0.35535418234960675,0.010487769421028737,0.0017479615701714562,0.0327498063516652,-0.010487769421765325,1,0,1,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
