number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
1885,3.0362608120135834,2026-01-07 05:06:55.965956,2026-01-07 05:06:56.077307,0 days 00:00:00.111351,14,36,2.8072965579245754,2.0345603912817287,5.37261474801043,1.563305273529213,COMPLETE
63,3.0362608120135834,2026-01-07 04:59:21.153992,2026-01-07 04:59:21.241595,0 days 00:00:00.087603,43,36,3.8907414161080864,4.4575341542650415,4.923531300645522,2.291741392094425,COMPLETE
59,3.0362608120135834,2026-01-07 04:59:20.217447,2026-01-07 04:59:20.296556,0 days 00:00:00.079109,48,34,3.6790423516613755,3.907204912208345,3.9399343289653603,2.2371327717040184,COMPLETE
57,3.0362608120135834,2026-01-07 04:59:19.751219,2026-01-07 04:59:19.825197,0 days 00:00:00.073978,48,31,3.274608153309873,2.4366333661688335,5.376861538741758,3.002271571640404,COMPLETE
1713,3.0362608120135834,2026-01-07 05:06:11.112858,2026-01-07 05:06:11.194936,0 days 00:00:00.082078,10,37,3.2871610554436117,4.112391239731152,3.00319068147158,2.259863704267317,COMPLETE
1712,3.0362608120135834,2026-01-07 05:06:10.871548,2026-01-07 05:06:10.961156,0 days 00:00:00.089608,24,32,2.6024991605697663,4.24724553581446,5.935255776417087,2.175754080415546,COMPLETE
1743,3.0362608120135834,2026-01-07 05:06:18.697798,2026-01-07 05:06:18.797723,0 days 00:00:00.099925,46,33,3.809236828625242,2.639980879461943,4.559763394801635,2.9785954340209755,COMPLETE
9,3.0362608120135834,2026-01-07 04:59:08.612287,2026-01-07 04:59:08.683119,0 days 00:00:00.070832,23,34,2.3919657248382906,3.494749947027713,5.765622705069351,1.7212312551297988,COMPLETE
1973,3.0362608120135834,2026-01-07 05:07:19.337860,2026-01-07 05:07:19.423192,0 days 00:00:00.085332,31,37,3.216617148773027,4.381546656498493,5.9521071198221955,1.5696164023755035,COMPLETE
1970,3.0362608120135834,2026-01-07 05:07:18.597724,2026-01-07 05:07:18.690608,0 days 00:00:00.092884,40,36,3.67491483649427,3.9363237698772333,4.368473903650356,2.2976568216388276,COMPLETE
30,3.0362608120135834,2026-01-07 04:59:13.149056,2026-01-07 04:59:13.234110,0 days 00:00:00.085054,25,36,2.627599513981122,2.630775733629683,4.11689567089067,1.961397702184159,COMPLETE
28,3.0362608120135834,2026-01-07 04:59:12.716543,2026-01-07 04:59:12.797003,0 days 00:00:00.080460,22,34,3.3052124631664155,4.210063432939365,5.875667326152873,2.050192177539773,COMPLETE
1593,3.0362608120135834,2026-01-07 05:05:37.355717,2026-01-07 05:05:37.517840,0 days 00:00:00.162123,32,33,2.517746352768971,3.7041306996801766,5.469722784506332,2.1804461875308734,COMPLETE
1592,3.0362608120135834,2026-01-07 05:05:37.010178,2026-01-07 05:05:37.199992,0 days 00:00:00.189814,48,32,2.1693255215508462,4.477751249114147,3.1381969227205695,2.227457805488167,COMPLETE
1612,3.0362608120135834,2026-01-07 05:05:43.452927,2026-01-07 05:05:43.576324,0 days 00:00:00.123397,16,37,3.2257788867331487,3.2986152004508096,3.034363374179139,2.57666513804316,COMPLETE
1611,3.0362608120135834,2026-01-07 05:05:43.107856,2026-01-07 05:05:43.199688,0 days 00:00:00.091832,35,37,3.975993778253217,2.358186021292756,4.961287662133042,3.9039261165556343,COMPLETE
