number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
177,0.8336660196787765,2026-01-02 23:15:11.943235,2026-01-02 23:15:14.532801,0 days 00:00:02.589566,23,56,1.5543650755786034,2,8,20,7,3.3818691027826824,42,4,7,4.167711039916494,1.3453452081676205,COMPLETE
21,0.8335016429139092,2026-01-02 23:09:01.857854,2026-01-02 23:09:04.237868,0 days 00:00:02.380014,13,59,1.707577446096185,4,5,38,3,2.662062062931617,42,4,7,3.1434259409904053,2.5429733285926126,COMPLETE
142,0.8329836057117351,2026-01-02 23:13:45.163521,2026-01-02 23:13:47.670847,0 days 00:00:02.507326,23,53,2.0684612209268853,2,9,23,10,3.045772122660292,42,3,9,3.1860615917513724,1.3124597327869785,COMPLETE
78,0.8327867350698535,2026-01-02 23:11:22.715178,2026-01-02 23:11:24.519192,0 days 00:00:01.804014,19,60,1.7366692440251688,3,7,29,8,1.6480148976222937,41,4,10,3.9417670933550792,1.280203811594138,COMPLETE
80,0.8316414286355751,2026-01-02 23:11:26.629365,2026-01-02 23:11:28.464497,0 days 00:00:01.835132,12,59,1.754861433138653,2,9,34,9,2.1948150807492692,39,3,9,2.325082774839916,1.547159140903851,COMPLETE
59,0.8312755125101469,2026-01-02 23:10:34.173804,2026-01-02 23:10:36.495087,0 days 00:00:02.321283,14,56,1.5524510267609182,2,7,24,8,1.6217483648655175,44,3,8,1.9966125273908597,1.299613408986904,COMPLETE
53,0.8305842181813311,2026-01-02 23:10:18.954579,2026-01-02 23:10:21.246956,0 days 00:00:02.292377,20,48,2.3208114025361537,3,9,23,7,1.527861566968567,41,4,8,1.5395073890270332,1.3993792393521043,COMPLETE
34,0.8305271287593766,2026-01-02 23:09:30.490834,2026-01-02 23:09:32.911869,0 days 00:00:02.421035,11,57,1.7060683411752762,2,5,33,4,1.7214813075821935,44,4,7,2.5518940644092356,1.5695772170352322,COMPLETE
65,0.8302755669167075,2026-01-02 23:10:49.742243,2026-01-02 23:10:52.134577,0 days 00:00:02.392334,19,59,2.2581378287084393,4,7,29,10,1.5215995337694852,44,4,7,4.134530579800865,2.0020239583281767,COMPLETE
84,0.8298128347414795,2026-01-02 23:11:32.824383,2026-01-02 23:11:34.596452,0 days 00:00:01.772069,24,57,1.9335956914968135,4,10,26,7,1.815731861741451,45,3,9,4.7694230722656155,1.0424144592735127,COMPLETE
171,0.8296650012044762,2026-01-02 23:14:54.825575,2026-01-02 23:14:57.449472,0 days 00:00:02.623897,11,42,1.6324075078511957,7,8,21,10,2.309789570850413,43,2,10,1.574138758959338,1.498034084708647,COMPLETE
179,0.8295325344547441,2026-01-02 23:15:17.360709,2026-01-02 23:15:19.653969,0 days 00:00:02.293260,13,40,2.45712221589762,3,10,25,9,3.5614496835316296,38,4,9,2.3645450601307014,1.6116842318917626,COMPLETE
45,0.8293503267824183,2026-01-02 23:09:58.729442,2026-01-02 23:10:01.191090,0 days 00:00:02.461648,14,60,1.610038294517227,4,6,23,9,1.9249038264333176,37,3,4,2.425709857497701,1.3256487115945392,COMPLETE
79,0.8292860360306901,2026-01-02 23:11:24.639672,2026-01-02 23:11:26.485430,0 days 00:00:01.845758,19,60,1.6747570757415189,4,7,37,8,1.8950979589866797,41,3,5,3.9500150098744884,2.2451411290503356,COMPLETE
186,0.8291629976970826,2026-01-02 23:15:35.869456,2026-01-02 23:15:38.396521,0 days 00:00:02.527065,12,48,3.061617115999521,3,10,27,10,2.561698138468677,37,4,10,1.9045557503952752,2.222437036640656,COMPLETE
178,0.8290326375105287,2026-01-02 23:15:14.676050,2026-01-02 23:15:17.211950,0 days 00:00:02.535900,23,51,1.749094223277298,2,10,21,8,3.4746558110070382,39,4,9,2.8709711342726667,1.4292925766359186,COMPLETE
9,0.8290017797291075,2026-01-02 23:08:31.087048,2026-01-02 23:08:33.407548,0 days 00:00:02.320500,11,58,2.1360069499437278,6,5,38,4,2.069837906354854,42,3,9,3.4219850488181534,2.6360295318449865,COMPLETE
74,0.8276761334776094,2026-01-02 23:11:13.977103,2026-01-02 23:11:16.513713,0 days 00:00:02.536610,14,58,1.7320625210409732,2,5,38,6,2.995188851514185,44,3,4,3.981993278315001,1.725528237860605,COMPLETE
105,0.8268931531844061,2026-01-02 23:12:21.496563,2026-01-02 23:12:23.499849,0 days 00:00:02.003286,13,50,2.4408319229433,5,9,24,9,1.939390729800647,38,3,10,3.0710765060626,1.4434151916584979,COMPLETE
