number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
124,0.899492889055391,2026-01-04 03:27:00.020117,2026-01-04 03:27:01.720485,0 days 00:00:01.700368,36,2.334943360712215,3.7752787920144857,3.2824165789472945,1.2245652957026425,COMPLETE
127,0.899492889055391,2026-01-04 03:27:05.442745,2026-01-04 03:27:07.110354,0 days 00:00:01.667609,42,2.27665910765767,2.6625790988525844,3.495970962896863,1.2105923563869947,COMPLETE
108,0.899492889055391,2026-01-04 03:26:28.931462,2026-01-04 03:26:30.562319,0 days 00:00:01.630857,40,2.5647599544705755,3.3843933195700417,3.1656720442952655,1.2241826493677186,COMPLETE
97,0.899492889055391,2026-01-04 03:26:08.461505,2026-01-04 03:26:10.176487,0 days 00:00:01.714982,44,2.1644986878280554,3.1028335276764105,3.9133223434468576,1.215739133140681,COMPLETE
67,0.899492889055391,2026-01-04 03:25:09.604866,2026-01-04 03:25:11.460662,0 days 00:00:01.855796,46,2.9432859658662673,3.034719168968812,3.4810462552645474,1.223755035110076,COMPLETE
63,0.899492889055391,2026-01-04 03:25:02.091937,2026-01-04 03:25:03.860390,0 days 00:00:01.768453,48,2.9138724078917524,3.0972600661427725,4.091157403527987,1.219130658424005,COMPLETE
14,0.899492889055391,2026-01-04 03:23:08.476059,2026-01-04 03:23:11.002121,0 days 00:00:02.526062,46,2.7785537141458008,3.544489538593315,3.397431363068345,1.2099398108224844,COMPLETE
174,0.899492889055391,2026-01-04 03:28:48.451934,2026-01-04 03:28:50.888608,0 days 00:00:02.436674,41,2.7717402014914723,3.6485425669057934,3.7838499454598105,1.2156292521164602,COMPLETE
188,0.899492889055391,2026-01-04 03:29:26.958053,2026-01-04 03:29:28.735496,0 days 00:00:01.777443,38,2.587766119134204,3.2555452884010574,3.0004870585630132,1.224930363361788,COMPLETE
151,0.899492889055391,2026-01-04 03:27:53.923003,2026-01-04 03:27:55.614406,0 days 00:00:01.691403,48,2.9984979471409994,3.734965031986355,3.436516505248753,1.2066089215120737,COMPLETE
